,Project Name,Repo Name,Date Joined Democracylab,Avg Commits/wk before joining,Avg Commits/wk after joining,Change in Avg Commits after joining
0,DemocracyLab,CivicTechExchange,2020-03-11,24,23,-4.166666666666666
1,DemocracyLab,collateral,2020-03-11,0,0,0.0
2,DemocracyLab,resources,2020-03-11,0,0,0.0
3,DemocracyLab,wp-site,2020-03-11,0,0,0.0
4,townhallproject,admin,2020-03-13,9,0,-100.0
5,townhallproject,archive-manager,2020-03-13,2,0,-100.0
6,townhallproject,email-service,2020-03-13,1,0,-100.0
7,townhallproject,frontline-stories,2020-03-13,0,41,0.0
8,townhallproject,global-xr-map,2020-03-13,0,0,0.0
9,townhallproject,gun-safety,2020-03-13,1,0,-100.0
10,townhallproject,indivisible-server,2020-03-13,2,0,-100.0
11,townhallproject,lawmakers-manager,2020-03-13,3,0,-100.0
12,townhallproject,maine-town-halls,2020-03-13,4,0,-100.0
13,townhallproject,mutual-aid-hub-server,2020-03-13,0,6,0.0
14,townhallproject,mutual-aid-networks,2020-03-13,0,16,0.0
15,townhallproject,office-people-model,2020-03-13,0,0,0.0
16,townhallproject,SEIU-map,2020-03-13,0,0,0.0
17,townhallproject,THP-Emergency,2020-03-13,4,0,-100.0
18,townhallproject,THP-Pledge,2020-03-13,1,0,-100.0
19,townhallproject,townhall-SMS-alerts,2020-03-13,1,1,0.0
20,townhallproject,townHallProject,2020-03-13,9,1,-88.88888888888889
21,townhallproject,townHallSubmission,2020-03-13,5,1,-80.0
22,orcasound,Backend-of-Active-Learning,2020-03-13,0,0,0.0
23,orcasound,orcabooth,2020-03-13,0,0,0.0
24,orcasound,orcadata,2020-03-13,2,1,-50.0
25,orcasound,orcagsoc,2020-03-13,0,7,0.0
26,orcasound,orcalabel-podcast,2020-03-13,0,2,0.0
27,orcasound,orcamap,2020-03-13,0,1,0.0
28,orcasound,orcamap-react,2020-03-13,0,1,0.0
29,orcasound,orcaml,2020-03-13,0,0,0.0
30,orcasound,orcanode,2020-03-13,0,0,0.0
31,orcasound,orcasite,2020-03-13,0,0,0.0
32,CouncilDataProject,cdp-deploy,2020-03-13,0,0,0.0
33,CouncilDataProject,cdp-instance,2020-03-13,0,0,0.0
34,CouncilDataProject,cdptools,2020-03-13,6,0,-100.0
35,CouncilDataProject,cdptools_outdated,2020-03-13,0,0,0.0
36,CouncilDataProject,councildataproject.github.io,2020-03-13,0,0,0.0
37,CouncilDataProject,governance,2020-03-13,0,0,0.0
38,CouncilDataProject,long-term-eng,2020-03-13,0,0,0.0
39,CouncilDataProject,Research,2020-03-13,0,0,0.0
40,CouncilDataProject,seattle,2020-03-13,4,0,-100.0
41,CouncilDataProject,seattle_outdated,2020-03-13,0,0,0.0
42,CouncilDataProject,speakerbox,2020-03-13,0,0,0.0
43,CouncilDataProject,webvtt-py,2020-03-13,0,0,0.0
44,SeattleVoluntech,seattlevoluntech,2020-03-13,0,0,0.0
45,DemocracyLab,CivicTechExchange,2020-03-11,24,23,-4.166666666666666
46,DemocracyLab,collateral,2020-03-11,0,0,0.0
47,DemocracyLab,resources,2020-03-11,0,0,0.0
48,DemocracyLab,wp-site,2020-03-11,0,0,0.0
49,mapseed,accessible-autocomplete,2020-03-13,0,0,0.0
50,mapseed,api,2020-03-13,0,0,0.0
51,mapseed,basemaps,2020-03-13,0,0,0.0
52,mapseed,cloudfront-tls,2020-03-13,0,0,0.0
53,mapseed,community-layers,2020-03-13,0,0,0.0
54,mapseed,cugos.github.com,2020-03-13,0,0,0.0
55,mapseed,data,2020-03-13,0,0,0.0
56,mapseed,discuss,2020-03-13,0,0,0.0
57,mapseed,django-admin-sortable2,2020-03-13,0,0,0.0
58,mapseed,docker-geoserver,2020-03-13,0,0,0.0
59,mapseed,duwamish-admin-ui,2020-03-13,0,0,0.0
60,mapseed,duwamish-stakeholders,2020-03-13,0,0,0.0
61,mapseed,espacios-verdes,2020-03-13,0,0,0.0
62,mapseed,geo-muncher,2020-03-13,0,0,0.0
63,mapseed,letsencrypt-nginx,2020-03-13,0,0,0.0
64,mapseed,mapbox-gl-draw,2020-03-13,0,0,0.0
65,mapseed,mapseed-chat,2020-03-13,0,0,0.0
66,mapseed,platform,2020-03-13,16,3,-81.25
67,mapseed,qpr2,2020-03-13,0,0,0.0
68,mapseed,s3-website,2020-03-13,0,0,0.0
69,mapseed,serverless-api-gateway,2020-03-13,0,0,0.0
70,mapseed,shareabouts-proxy,2020-03-13,0,0,0.0
71,mapseed,spreadsheet-muncher,2020-03-13,0,0,0.0
72,mapseed,story-builder-api,2020-03-13,0,0,0.0
73,mapseed,utils,2020-03-13,0,0,0.0
